Repetitions,Size,Mean,Median,Std
100,50,188.66200,168.05000,65.42693
100,100,899.23400,803.30000,281.47983
100,150,1764.11600,1653.05000,330.91420
100,200,3152.66000,2977.80000,504.21696
100,250,5085.35000,4805.90000,1191.11831
100,300,7719.89000,7460.79999,1241.74642
100,350,9615.89200,9083.05000,1427.74808
100,400,13320.61800,13170.05000,1643.28885
100,450,17507.52600,17685.95000,1604.83709
100,500,22329.77700,21006.60000,8561.21401
100,550,26940.21500,27110.74999,2870.43022
100,600,31804.74200,31572.65000,3680.80594
100,650,39296.46400,39300.75000,3585.04892
100,700,42946.75600,40411.70000,9014.46975
100,750,53315.48600,52596.40000,7537.91344
100,800,59736.39500,59998.65000,6291.19940
100,900,69846.03100,67454.15000,7113.33131
100,1000,85050.46800,81405.40000,7907.07986
100,2000,358431.74600,344497.34999,32998.02468
500,50,177.91160,165.39999,67.65947
500,100,660.27940,639.14999,106.53455
500,150,1705.66220,1664.35000,244.84014
500,200,3044.28980,3005.25000,317.71617
500,250,4299.91540,4121.50000,628.53396
500,300,7202.04940,7174.35000,936.59839
500,350,10123.93260,10038.50000,2118.46283
500,400,12528.92940,12217.00000,1336.17121
500,450,16721.05600,16507.90000,1305.81650
500,500,19892.70400,19189.10000,2118.34527
500,550,24635.63780,23659.95001,2723.59143
500,600,29501.97220,28631.15000,2979.48300
500,650,34513.34580,33005.90000,3636.54008
500,700,40770.53440,39070.90000,4285.14422
500,750,47040.87180,44997.05000,5007.12051
500,800,53325.48200,50949.25001,5804.66638
500,900,69004.65620,66168.55000,7246.72223
500,1000,85391.32020,81753.60000,8851.70949
500,2000,354376.25080,343357.35000,31520.68083
1000,50,173.73950,162.60000,111.48462
1000,100,775.19720,747.70000,140.09756
1000,150,1650.79810,1571.10000,287.06595
1000,200,2690.71130,2602.55000,329.85959
1000,250,4347.63680,4230.25001,523.07683
1000,300,6654.64450,6415.05000,804.64863
1000,350,9187.22970,8809.10000,1063.79430
1000,400,12277.00590,11760.70000,1390.95011
1000,450,15937.08140,15200.45000,1840.81115
1000,500,20214.87840,19600.65000,2208.63063
1000,550,24385.21090,23301.40000,2872.00637
1000,600,29465.51450,28084.45000,3206.76338
1000,650,35317.44410,34258.50000,3743.45629
1000,700,40814.18110,39050.45000,4393.86774
1000,750,47489.25880,46319.09999,4665.21774
1000,800,53944.34170,51435.95000,5752.80258
1000,900,68767.20330,65537.10000,7086.52200
1000,1000,85426.06890,81595.40000,8787.87023
1000,2000,358258.51020,346573.40000,34142.17732
5000,50,175.47168,167.30001,38.87244
5000,100,727.49080,699.50000,130.65443
5000,150,1525.22818,1465.65001,223.80837
5000,200,2918.17376,2853.00001,388.32830
5000,250,4338.99750,4209.75000,746.71492
5000,300,6741.51182,6470.40000,846.49201
5000,350,9359.82942,8997.50000,1123.14240
5000,400,12474.84878,11970.05000,1448.01753
5000,450,16095.21194,15511.65000,1799.84108
5000,500,20095.46526,19475.80000,2136.70578
5000,550,24562.19730,23622.55000,2662.26272
5000,600,29595.78522,28613.15000,3152.30008
5000,650,34939.78588,33643.65000,3883.03771
5000,700,40841.49478,39420.95000,4210.62278
5000,750,47377.99818,45737.10000,4974.10697
5000,800,54688.15200,52824.60000,6225.96620
5000,900,68499.94920,65261.10000,7123.38579
5000,1000,86277.75308,82154.50000,10060.36759
5000,2000,354800.73554,342837.20001,32213.29007
10000,50,164.69786,160.00000,30.28407
10000,100,708.38260,677.10000,125.05831
10000,150,1547.24215,1483.35000,234.07139
10000,200,2778.82458,2665.10000,590.81868
10000,250,4298.78066,4117.90000,568.80433
10000,300,6815.77689,6575.95000,834.74242
10000,350,9534.55506,9356.05000,1037.00139
10000,400,12516.48793,12094.44999,1412.84402
10000,450,16038.91209,15442.55000,1792.58753
10000,500,20182.15675,19498.45000,2276.11870
10000,550,24685.21001,23847.10000,2676.83250
10000,600,29779.87742,28871.30000,3356.97292
10000,650,35105.18820,33975.40000,3681.18630
10000,700,41197.54064,39990.10001,4309.62479
10000,750,47547.91065,46133.30001,4911.34648
10000,800,54339.47015,52777.55001,5629.44927
10000,900,69375.00659,67753.65000,6705.01066
10000,1000,86829.09128,84280.85001,8712.55931
10000,2000,357601.95355,345182.35000,31464.88326
